,n_pts,seed,score_mae
0,2,1,3.96606482365243
1,2,2,4.068089850304703
2,2,3,14.932369606204983
3,2,4,2.8148174305814253
4,2,5,7.310305614305416
5,2,6,2.736220507616078
6,2,7,2.0216068301957657
7,2,8,1.5998896814457602
8,2,9,1.6162105117493526
9,2,10,24.34360826004956
10,2,11,20.321569084984855
11,2,12,1.2702852656646735
12,2,13,3.930887884933775
13,2,14,26.69660345704251
14,2,15,2.8490552161874447
15,2,16,2.011541801357397
16,2,17,6.725295411914927
17,2,18,3.4918208039614913
18,2,19,2.7497903820058425
19,2,20,18.69177611004154
20,3,1,4.230516129357659
21,3,2,3.0420760674969958
22,3,3,0.0002748454505608677
23,3,4,2.6461011680852193
24,3,5,12.275278616468263
25,3,6,3.848046257306483
26,3,7,0.006393851287808301
27,3,8,0.005301170834454975
28,3,9,46.4150930897519
29,3,10,9.825075173211822
30,3,11,0.0007020163591864581
31,3,12,3.815546499322403
32,3,13,0.5369425455685878
33,3,14,6.362554504183583
34,3,15,11.02168153250333
35,3,16,0.9368398219762578
36,3,17,1.4802973661668754e-17
37,3,18,0.14996304079342443
38,3,19,24.272771216300736
39,3,20,16.79631675643884
40,4,1,6.577696801356564
41,4,2,0.003526518279902639
42,4,3,0.0002748454505608677
43,4,4,1.0362081563168128e-16
44,4,5,1.5825821246029692
45,4,6,0.0002748454505608677
46,4,7,5.921189464667501e-17
47,4,8,0.0011076671374099364
48,4,9,6.689135681579382
49,4,10,0.013057084358279644
50,4,11,0.3680086050413048
51,4,12,0.640194112133259
52,4,13,0.0030002044382460456
53,4,14,0.05997233829955096
54,4,15,0.01700369737733899
55,4,16,5.192794919433664
56,4,17,0.010841496956992791
57,4,18,8.881784197001253e-17
58,4,19,24.349326134518435
59,4,20,1.4802973661668754e-17
60,5,1,4.083420058792619
61,5,2,0.012874709594763814
62,5,3,8.881784197001253e-17
63,5,4,1.0362081563168128e-16
64,5,5,2.709467473634555
65,5,6,0.0002748454505607715
66,5,7,5.921189464667501e-17
67,5,8,1.0362081563168128e-16
68,5,9,4.514877439344143
69,5,10,24.284831383475325
70,5,11,1.1842378929335003e-16
71,5,12,0.6387115011420641
72,5,13,0.01712617767687315
73,5,14,0.05997233829955096
74,5,15,5.75040981671705
75,5,16,0.6791776145307753
76,5,17,0.026921588635760992
77,5,18,0.0011076671374098772
78,5,19,0.0002748454505608677
79,5,20,0.006886770520332456
80,6,1,0.07708491104697848
81,6,2,6.661338147750939e-17
82,6,3,8.881784197001253e-17
83,6,4,1.0362081563168128e-16
84,6,5,5.921189464667501e-17
85,6,6,0.005234956798878102
86,6,7,0.0002748454505608677
87,6,8,1.4802973661668754e-17
88,6,9,0.8405609228382583
89,6,10,0.0006626200150274227
90,6,11,1.4802973661668754e-17
91,6,12,0.6452912694312389
92,6,13,0.0028756948821596555
93,6,14,0.05997233829955096
94,6,15,0.8401129174681404
95,6,16,0.06166889126155293
96,6,17,1.0362081563168128e-16
97,6,18,1.4802973661668754e-17
98,6,19,0.0007662973498795263
99,6,20,5.921189464667501e-17
